3124,45242,7143,948960,,,,,
,,,,,,,,
824808,40,27725,2856,870,19,10,678,None
30142,2,2167,282,162,1,0,50,OS
39680,33,6699,2128,497,35,0,706,BU
7382,17,1654,221,21,9,0,66,OS+BU
None,BM,BE,BM+BE,BS,BS+BM,BS+BE,BS+BE+BM,
